"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
USDN,Tidex,USDN/USDT,1519.18359873,"2021-06-08T15:06:11.000Z"
USDT,Binance.US,USDT/USD,320215630.24527735,"2021-06-08T15:04:53.000Z"
USDT,Bitfront,USDT/USD,320211605.42659770,"2021-06-08T15:03:27.000Z"
USDT,MDEX(BSC),USDT/BUSD,300738825.56976235,"2021-06-08T15:03:12.000Z"
USDT,Kraken,USDT/USD,193321052.31514620,"2021-06-08T15:04:54.000Z"
USDT,Huobi Global,USDT/HUSD,141864448.62173630,"2021-06-08T15:04:53.000Z"
USDT,FTX,USDT/USD,118844733.33048466,"2021-06-08T15:04:53.000Z"
USDT,MDEX(BSC),USDT/USDC,99345754.54429230,"2021-06-08T15:03:12.000Z"
USDT,Bitfinex,USDT/USD,83272585.71496373,"2021-06-08T15:04:53.000Z"
USDT,IndoEx,USDT/USD,78065383.90004005,"2021-06-08T15:03:13.000Z"
USDT,DODO,USDT/USDC,56176689.66667086,"2021-06-08T15:03:08.000Z"
USDT,Coinbase Exchange,USDT/USD,51504159.40000000,"2021-06-08T11:32:23.000Z"
USDT,Binance,USDT/DAI,32940307.44000000,"2021-06-08T15:03:54.000Z"
USDT,Bittrex,USDT/USD,11996116.61170386,"2021-06-08T15:04:53.000Z"
USDT,KuCoin,USDT/UST,11028356.53713711,"2021-06-08T15:04:53.000Z"
USDT,Okcoin,USDT/USD,8686635.07285629,"2021-06-08T15:03:07.000Z"
USDT,KuCoin,USDT/USDC,7246326.04596250,"2021-06-08T15:04:53.000Z"
USDT,Curve Finance,USDT/SUSD,5608110.37497775,"2021-06-08T15:03:11.000Z"
USDT,DODO BSC,USDT/BUSD,4567760.90378655,"2021-06-08T15:03:24.000Z"
USDT,EXMO,USDT/USD,3479390.73223515,"2021-06-08T15:03:12.000Z"
USDT,"1inch Exchange",USDT/FEI,3107574.16517857,"2021-06-08T15:03:22.000Z"
USDT,BKEX,USDT/DAI,2522718.37280000,"2021-06-08T15:03:08.000Z"
USDT,KLAYswap,USDT/DAI,2266992.75944246,"2021-06-08T15:03:08.000Z"
USDT,Emirex,USDT/USD,2033248.34950231,"2021-06-08T15:03:15.000Z"
USDT,"1inch Exchange",USDT/USDC,1635546.97853964,"2021-06-08T15:03:22.000Z"
USDT,CEX.IO,USDT/USD,1559559.70519100,"2021-06-08T15:03:07.000Z"
USDT,Coinbase Exchange,USDT/USDC,1484397.95000000,"2021-06-08T15:02:54.000Z"
USDT,Waves Exchange,USDT/USDN,1448079.13571300,"2021-06-08T15:03:12.000Z"
USDT,CoinZoom,USDT/USD,1377370.64000000,"2021-06-08T15:03:11.000Z"
USDT,Curve Finance,USDT/TUSD,1339175.16105092,"2021-06-08T15:03:11.000Z"
USDT,"0x Protocol",USDT/DAI,992717.96132642,"2021-06-08T15:03:17.000Z"
USDT,BHEX (BlueHelix Exchange),USDT/HUSD,951627.24944029,"2021-06-08T15:03:10.000Z"
USDT,Poloniex,USDT/USDC,933898.27751522,"2021-06-08T15:04:53.000Z"
USDT,BTSE,USDT/USD,912441.45601626,"2021-06-08T15:03:14.000Z"
USDT,KuCoin,USDT/DAI,800429.58920296,"2021-06-08T15:04:53.000Z"
USDT,KuCoin,USDT/TUSD,733702.57097226,"2021-06-08T15:04:53.000Z"
USDT,Bilaxy,USDT/DAI,687720.02000000,"2021-06-08T15:03:11.000Z"
USDT,"0x Protocol",USDT/USDC,494468.26592026,"2021-06-08T15:03:17.000Z"
USDT,FTX US,USDT/USD,478991.46155007,"2021-06-08T15:03:07.000Z"
USDT,B2BX,USDT/USD,449391.09224023,"2021-06-08T15:03:07.000Z"
USDT,Curve Finance,USDT/PAX,335377.76491302,"2021-06-08T15:03:11.000Z"
USDT,OceanEx,USDT/USD,321480.01000000,"2021-06-08T15:09:10.000Z"
USDT,Curve Finance,USDT/BUSD,301070.74737192,"2021-06-08T15:06:12.000Z"
USDT,"0x Protocol",USDT/PAX,231365.69786667,"2021-06-08T15:06:14.000Z"
USDT,Emirex,USDT/DAI,176289.89131732,"2021-06-08T15:06:15.000Z"
USDT,OpenOcean,USDT/DAI,136803.36147602,"2021-06-08T15:06:10.000Z"
