"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
USDC,Coinsbit,USDC/USDT,400175.31408082,"2021-06-21T12:57:12.000Z"
USDC,Okcoin,USDC/USD,395917.01380138,"2021-06-21T12:57:10.000Z"
USDC,Omgfin,USDC/USDT,389454.31163684,"2021-06-21T12:45:43.000Z"
USDC,Curve Finance,USDC/PAX,375051.01356957,"2021-06-21T12:57:11.000Z"
USDC,Exrates,USDC/USD,357426.18000000,"2021-06-21T12:57:12.000Z"
USDC,OceanEx,USDC/USDT,299300.72000000,"2021-06-21T12:57:12.000Z"
USDC,Bittrex,USDC/USDT,282097.90469505,"2021-06-21T12:58:53.000Z"
USDC,CoinW,USDC/USDT,215006.66926615,"2021-06-21T12:57:13.000Z"
USDC,MXC.COM,USDC/USDT,164993.71000000,"2021-06-21T12:57:15.000Z"
USDC,WhiteBIT,USDC/USDT,155535.95020000,"2021-06-21T12:57:07.000Z"
USDC,WazirX,USDC/USDT,152076.20000000,"2021-06-21T12:57:10.000Z"
USDC,CEX.IO,USDC/USD,145825.34453900,"2021-06-21T12:57:11.000Z"
USDC,KyberDMM (Kyber Dynamic Market Make Protocol),USDC/USDT,143326.36135407,"2021-06-21T12:57:11.000Z"
USDC,Loopring Exchange,USDC/USDT,141037.56000000,"2021-06-21T12:57:10.000Z"
USDC,Hoo,USDC/USDT,96091.98000000,"2021-06-21T12:57:10.000Z"
USDC,OpenOcean,USDC/USDT,91389.74224962,"2021-06-21T12:57:13.000Z"
USDC,Hotbit,USDC/USDT,86807.86029167,"2021-06-21T12:57:13.000Z"
USDC,MXC.COM,USDC/UST,85640.77000000,"2021-06-21T13:00:14.000Z"
USDC,VinDAX,USDC/USDT,84098.63570280,"2021-06-21T12:57:11.000Z"
USDC,Curve Finance,USDC/TUSD,59962.14846763,"2021-06-21T07:27:10.000Z"
USDC,Folgory,USDC/USDT,57168.43229900,"2021-06-21T12:57:08.000Z"
USDC,Azbit,USDC/USDT,50262.41000000,"2021-06-21T12:57:12.000Z"
USDC,B2BX,USDC/USDT,49176.00697739,"2021-06-21T12:57:13.000Z"
USDC,"0x Protocol",USDC/FRAX,40157.55618652,"2021-06-21T13:00:16.000Z"
USDC,CoinDCX,USDC/USDT,37232.23932907,"2021-06-21T12:57:11.000Z"
USDC,AAX,USDC/USDT,31121.10678571,"2021-06-21T12:57:11.000Z"
USDC,EXMO,USDC/USDT,28282.35252636,"2021-06-21T12:57:11.000Z"
USDC,Waves Exchange,USDC/USDN,23940.03957600,"2021-06-21T13:00:08.000Z"
USDC,CROSS exchange,USDC/USDT,21297.33083982,"2021-06-21T12:57:11.000Z"
USDC,Waves Exchange,USDC/USDT,20965.61066700,"2021-06-21T12:57:12.000Z"
USDC,ComethSwap,USDC/DAI,19671.22398917,"2021-05-11T14:30:07.000Z"
USDC,ProBit Exchange,USDC/USDT,19253.97681600,"2021-06-21T12:57:11.000Z"
USDC,BtcTurk | Pro,USDC/USDT,18364.60000000,"2021-06-21T12:58:53.000Z"
USDC,OpenOcean,USDC/UST,16748.98874974,"2021-05-21T13:36:09.000Z"
USDC,EXMO,USDC/USD,15763.95846644,"2021-06-21T12:57:11.000Z"
USDC,BakerySwap,USDC/BUSD,15681.37900737,"2021-06-21T12:57:18.000Z"
USDC,OpenOcean,USDC/BUSD,12811.38587966,"2021-06-21T12:57:13.000Z"
USDC,MAX Exchange,USDC/USDT,9039.50000000,"2021-06-21T12:57:11.000Z"
USDC,CEX.IO,USDC/USDT,8670.14811000,"2021-06-21T12:57:11.000Z"
USDC,Bitstamp,USDC/USDT,8021.18877000,"2021-06-21T12:58:53.000Z"
USDC,ComethSwap,USDC/USDT,5442.65418053,"2021-05-17T05:30:11.000Z"
USDC,Tokenlon,USDC/DAI,5440.26627000,"2021-06-21T12:57:10.000Z"
USDC,SwipeSwap,USDC/USDT,3805.54913514,"2021-06-21T12:57:08.000Z"
USDC,BiKi,USDC/USDT,2405.50000000,"2021-06-21T12:57:13.000Z"
USDC,Tokenlon,USDC/TUSD,2149.24875900,"2021-06-01T02:09:12.000Z"
USDC,CrossTower,USDC/USD,1705.48099434,"2021-06-21T12:57:11.000Z"
USDC,OpenOcean,USDC/DAI,1600.00000000,"2021-06-19T22:54:11.000Z"
USDC,CoinZoom,USDC/USD,429.98400320,"2021-06-21T12:57:07.000Z"
USDC,"1inch Exchange",USDC/TUSD,420.00000000,"2021-06-21T02:42:19.000Z"
USDC,SpiritSwap,USDC/FRAX,407.28493424,"2021-06-21T13:00:12.000Z"
USDC,DeversiFi,USDC/USDT,235.86567000,"2021-06-21T12:57:11.000Z"
USDC,BitBay,USDC/USD,141.97058962,"2021-06-21T12:57:11.000Z"
USDC,Sushiswap,USDC/USDT,90.86031702,"2021-06-21T12:57:10.000Z"
USDC,ViteX,USDC/USDT,77.29993995,"2021-06-21T12:57:10.000Z"
USDC,Dove Wallet,USDC/TUSD,72.41975724,"2021-06-21T12:57:11.000Z"
USDC,Dove Wallet,USDC/USDT,62.35506912,"2021-06-21T12:57:11.000Z"
USDC,Mooniswap,USDC/DAI,52.84806710,"2021-06-21T07:51:07.000Z"
USDC,Dove Wallet,USDC/PAX,41.25152047,"2021-06-21T12:57:11.000Z"
USDC,Tokenize Xchange,USDC/USD,34.98277651,"2021-06-21T12:57:11.000Z"
USDC,Zipmex,USDC/USD,21.06590087,"2021-06-21T12:57:12.000Z"
USDC,Dfyn Network,USDC/DAI,1.42373548,"2021-06-18T12:36:07.000Z"
USDC,VELIC,USDC/USDT,0.00000000,"2021-06-21T12:57:10.000Z"
USDC,BitRabbit,USDC/USDT,0.00000000,"2021-06-21T12:57:07.000Z"
USDC,Independent Reserve,USDC/USD,0.00000000,"2021-06-21T12:57:12.000Z"
USDC,ATOMARS,USDC/USDT,0.00000000,"2021-06-21T12:57:13.000Z"
USDC,Switcheo Network,USDC/DAI,0.00000000,"2021-06-21T12:57:10.000Z"
USDC,CoinZoom,USDC/USDT,0.00000000,"2021-06-21T12:57:07.000Z"
USDC,Koinbazar,USDC/USDT,0.00000000,"2021-06-21T12:57:11.000Z"
USDC,PlasmaSwap,USDC/USDT,0.00000000,"2021-06-21T12:57:07.000Z"
USDN,Curve Finance,USDN/USDC,12877323.07823355,"2021-06-21T13:00:11.000Z"
USDN,KuCoin,USDN/USDT,7611179.61020000,"2021-06-21T13:01:53.000Z"
USDN,Curve Finance,USDN/USDT,575599.85754798,"2021-06-21T13:00:11.000Z"
USDN,MXC.COM,USDN/USDT,383422.35000000,"2021-06-21T13:00:14.000Z"
USDN,Hotbit,USDN/USDT,9355.27377842,"2021-06-21T13:00:12.000Z"
USDN,Uniswap (V2),USDN/USDT,6514.62615230,"2021-06-08T13:48:07.000Z"
USDN,Bittrex,USDN/USDT,3614.42082061,"2021-06-21T13:01:53.000Z"
USDN,Tidex,USDN/USDT,1519.00322041,"2021-06-21T13:00:12.000Z"
USDN,Curve Finance,USDN/DAI,989.42546440,"2021-06-21T12:57:11.000Z"
USDT,MDEX(BSC),USDT/BUSD,313142916.66116960,"2021-06-21T12:57:11.000Z"
USDT,Bitfinex,USDT/USD,231375909.10804328,"2021-06-21T12:58:53.000Z"
USDT,Kraken,USDT/USD,153147893.68170998,"2021-06-21T12:58:54.000Z"
USDT,Bitfront,USDT/USD,149656482.61665434,"2021-06-21T12:57:07.000Z"
USDT,Binance.US,USDT/USD,149655794.84336868,"2021-06-21T12:58:53.000Z"
USDT,FTX,USDT/USD,131632386.67948306,"2021-06-21T12:58:53.000Z"
USDT,MDEX(BSC),USDT/USDC,93459507.08886366,"2021-06-21T12:57:11.000Z"
USDT,Huobi Global,USDT/HUSD,84657722.96873386,"2021-06-21T12:58:53.000Z"
USDT,IndoEx,USDT/USD,75009807.47669774,"2021-06-21T12:57:12.000Z"
USDT,DODO,USDT/USDC,51766706.65901331,"2021-06-21T12:57:10.000Z"
USDT,Curve Finance,USDT/SUSD,31753613.93379941,"2021-06-21T12:57:11.000Z"
USDT,Coinbase Exchange,USDT/USD,31452662.16000000,"2021-06-21T12:58:53.000Z"
USDT,Binance,USDT/DAI,31391938.33000000,"2021-06-21T12:58:54.000Z"
USDT,PancakeSwap (V2),USDT/BUSD,20358905.50571750,"2021-06-21T12:57:15.000Z"
USDT,KuCoin,USDT/UST,13478932.57245186,"2021-06-21T13:01:53.000Z"
USDT,DODO BSC,USDT/BUSD,12544910.08085690,"2021-06-21T12:58:20.000Z"
USDT,Bittrex,USDT/USD,12405151.96554563,"2021-06-21T12:58:53.000Z"
USDT,OpenOcean,USDT/BUSD,10228489.42875702,"2021-06-21T12:57:13.000Z"
USDT,Coinbase Exchange,USDT/USDC,10203933.77000000,"2021-06-21T12:56:27.000Z"
